id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,2,46,4704
1,0,0,0,5,77,9184
2,0,0,0,2,46,4704
3,0,0,0,5,77,9184
4,0,0,0,2,46,4704
5,0,0,0,4,68,9184
6,0,0,0,4,70,9184
7,0,0,0,4,72,9184
8,0,0,0,6,102,10560
9,0,0,0,4,68,9184
10,0,0,0,4,91,5440
11,2,0,0,4,86,40224
12,2,0,0,4,71,64640
13,2,0,0,4,71,60160
14,0,0,0,5,77,9184
15,2,0,0,4,71,85024
16,0,1,0,27,154,107424
17,0,1,0,29,148,109664
18,2,0,1,1,46,33296
19,0,0,0,4,86,7680
20,2,0,0,4,84,27744
21,2,0,1,2,63,56120
22,2,0,1,1,38,38416
23,2,0,0,4,71,71584
24,0,0,0,6,102,24544
25,0,0,1,8,120,49592
26,0,0,0,8,108,46944
27,0,0,1,8,120,90456
28,0,0,0,6,107,6720
29,2,0,1,2,63,12600
30,2,0,1,2,63,56120
31,2,0,1,2,63,5544
32,0,0,0,5,77,9184
33,0,0,0,2,46,4704
